Occupation,May 2024('000),May 2029('000),May 2034('000)
Clerical and Administrative Workers," 1,855.1 "," 1,923.7 "," 2,029.6 "
Community and Personal Service Workers," 1,666.1 "," 1,812.1 "," 1,960.7 "
Labourers," 1,217.9 "," 1,227.9 "," 1,272.4 "
Machinery Operators and Drivers, 920.2 , 960.0 ," 1,007.7 "
Managers," 1,856.9 "," 2,008.4 "," 2,148.1 "
Professionals," 3,763.2 "," 4,173.1 "," 4,548.3 "
Sales Workers," 1,116.1 "," 1,155.9 "," 1,204.1 "
Technicians and Trades Workers," 1,967.8 "," 2,049.5 "," 2,154.6 "
Total," 14,363.3 "," 15,310.7 "," 16,325.5 "
Grand Total," 28,726.6 "," 30,621.3 "," 32,651.1 "
